id,index,resumes,intro
QA-002,27,自动化测试工程师,"开发自动化测试脚本与框架（Selenium/Appium/Playwright），实现UI/接口自动化，提升测试效率与覆盖率"
QA-003,28,性能测试工程师,"使用JMeter/LoadRunner进行压力测试、负载测试与稳定性测试，分析系统瓶颈，输出性能优化建议"
QA-004,29,测试开发工程师,"介于开发与测试之间，开发测试平台、Mock服务、质量保障工具链，推动DevOps中的质量内建"
QA-005,30,安全测试工程师,"进行渗透测试、漏洞扫描、代码审计，发现Web/移动应用安全漏洞，提出修复方案与安全加固建议"
OP-001,31,运维工程师,"负责服务器、操作系统及中间件维护，处理故障排查、系统部署、备份恢复，保障线上服务稳定运行"
OP-002,32,DevOps工程师,"构建CI/CD流水线（Jenkins/GitLab CI/GitHub Actions），推进IaC（Terraform/Ansible）与自动化发布，提升研发效能"
OP-003,33,SRE工程师,"通过软件工程方法保障系统可靠性，制定SLA/SLO，设计监控告警体系，主导故障应急响应与容量规划"
OP-004,34,云原生工程师,"深度掌握Kubernetes/Docker/容器网络，负责云原生架构落地、Service Mesh实施及多云环境管理"
OP-005,35,数据库管理员(DBA),"管理MySQL/PostgreSQL/Oracle/MongoDB等数据库，负责架构设计、性能调优、分库分表及数据安全保障"
OP-006,36,网络工程师,"设计企业网络架构，配置交换机/路由器/防火墙/F5负载均衡，管理CDN、VPN及云网络（VPC）环境"
SE-001,37,网络安全工程师,"设计网络安全策略，配置防火墙/IDS/IPS/WAF，进行安全加固、日志审计及合规检查（等保/ISO27001）"
SE-002,38,渗透测试工程师,"模拟黑客攻击进行Web/APP/内网渗透测试，使用Burp Suite/Metasploit挖掘漏洞，输出渗透测试报告"
SE-003,39,安全运维工程师,"负责安全设备运维、威胁情报分析、应急响应处置，建设SOC安全运营中心，进行溯源分析与取证"
SE-004,40,逆向工程师,"进行软件逆向分析、病毒木马分析、移动APP脱壳加固，掌握汇编、调试器（IDA Pro/GDB）及二进制安全"
SE-005,41,安全架构师,"规划零信任安全体系，设计身份认证、数据加密、访问控制方案，制定企业级安全标准与架构蓝图"
EM-001,42,嵌入式软件工程师,"开发MCU单片机程序（C/C++），掌握RTOS（FreeRTOS/RT-Thread）、嵌入式Linux及硬件驱动开发"
EM-003,43,Linux驱动工程师,"开发Linux内核驱动（字符设备/块设备/网络驱动），进行硬件抽象层（HAL）与板级支持包（BSP）开发"
EM-004,44,物联网(IoT)工程师,"开发物联网终端应用，掌握MQTT/CoAP协议、边缘计算、LoRa/NB-IoT通信及智能硬件云平台对接"
EM-005,45,FPGA工程师,"使用Verilog/VHDL进行FPGA逻辑设计，开发高速数据采集、图像处理或通信协议（PCIe/Ethernet）IP核"
PD-001,46,产品经理（技术型）,"负责产品规划与需求分析，具备技术背景能理解API与数据库，主导PRD撰写、原型设计及项目推进"
PD-002,47,UI设计师,"负责产品界面视觉设计，掌握Figma/Sketch/PS，建立设计规范与组件库，确保视觉还原度与品牌一致性"
PD-003,48,交互设计师(IXD),"设计用户操作流程与交互原型，进行信息架构设计、可用性测试，优化用户体验路径与交互细节"
PD-004,49,UX研究员,"开展用户调研、深度访谈、可用性测试，分析用户行为数据，为产品设计提供定性定量研究支持"
MG-001,50,技术经理/组长,"带领5-10人技术团队，负责项目技术方案评审、代码Review、团队培养及跨部门沟通协调"
MG-002,51,架构师,"主导系统总体架构设计，进行技术选型、性能容量规划、技术难题攻关，保障架构合理性与先进性"
MG-003,52,研发总监,"管理多条产品线技术团队，制定技术战略与研发流程，推动技术创新与工程效能提升，向CTO汇报"
MG-004,53,CTO/技术VP,"公司技术最高负责人，规划技术战略方向，搭建技术团队与基础设施，支撑业务战略落地与技术创新"
